Cat_ID,Cat,Trajectory,Definition,Condition,Primary,Ecosystem,Activity ID,Activity,Benefit Nature,Benefit People,Benefit Climate,QB Avoided Emissions,QB Carbon Sequestration
1,1,Forest to C1/C2,Forest persisting. Natural forest in 2014 still natural forest in 2024,,Protect,Dryland Forest,11,"Establish protected areas, corridors, and enforce customary land rights.",Enhanced biodiversity and ecosystem functions; Maintenance of ecological connectivity,Secure land and resource tenure; Cultural heritage preservation,"Reduced emissions from deforestation and degradation; Increased carbon sequestration and storage
",Yes,No
1,1,Forest to C1/C2,,,Protect,Mangrove,12,Establish MPAs and enforce strict prohibitions on coastal development.,Protection of watershed functions; Enhanced biodiversity and ecosystem functions,Sustainable livelihood opportunities; Strengthened social capital and governance capacity,Enhanced resilience to climate hazards; Increased carbon sequestration and storage,Yes,No
1,1,Forest to C1/C2,,,Protect,Peatland,13,"Protect peat domes within Peat Hydrological Units (PHUs), enforce moratoria, & ban canal construction.",Reduced vulnerability to fire; Protection of peat hydrological functions,Enhanced food and water security; Secure land and resource tenure,Reduced emissions from deforestation and degradation; Reduced vulnerability of forest-dependent communities,Yes,No
1,1,Forest to C1/C2,,,Protect,Savanna,14,"Establish protected areas, corridors, and enforce customary land rights.",Enhanced biodiversity and ecosystem functions; Maintenance of ecological connectivity,Secure land and resource tenure; Cultural heritage preservation,"Reduced emissions from deforestation and degradation; Increased carbon sequestration and storage
",Yes,No
2,2,Forest to C3,Forest lost to plantation. Natural forest replaced by managed tree cover,,Carbon ineligible,,,,,,,No,No
3,3A,Forest to C4,Forest degraded to non forest vegetation. Tree cover lost no other land use took the site,reference savanna,Carbon ineligible,,,,,,,No,No
4,3B,Forest to C4,Forest degraded to non forest vegetation. Tree cover lost no other land use took the site,other reference,Restore,Dryland Forest,321,Execute Assisted Natural Regeneration (ANR) and enrichment planting.,Improved forest productivity and regeneration; Maintenance of ecological connectivity,Sustainable livelihood opportunities; Equitable benefit-sharing mechanisms,Increased carbon sequestration and storage; Microclimate regulation,No,Yes
4,3B,Forest to C4,Forest degraded to non forest vegetation. Tree cover lost no other land use took the site,other reference,Restore,Mangrove,322,Breach coastal barriers for tidal flushing and actively plant native mangroves.,Enhanced biodiversity and ecosystem functions; Protection of watershed functions,Sustainable livelihood opportunities; Strengthened social capital and governance capacity,Enhanced resilience to climate hazards; Increased carbon sequestration and storage,No,Yes
4,3B,Forest to C4,Forest degraded to non forest vegetation. Tree cover lost no other land use took the site,other reference,Restore,Peatland,323,Construct rewetting infrastructures to raise water tables and re-vegetate with native species.,Reduced vulnerability to fire; Protection of peat hydrological functions,Enhanced food and water security; Equitable benefit-sharing mechanisms,Reduced emissions from deforestation and degradation; Reduced vulnerability of forest-dependent communities,Yes,No
5,4A,Forest to C5,Forest converted to active use. Site now under crops rice ponds or buildings,reference savanna,Carbon ineligible,,,,,,,No,No
6,4B,Forest to C5,Forest converted to active use. Site now under crops rice ponds or buildings,other reference,Restore,Dryland Forest,421,Conduct Forest Landscape Restoration (FLR) to transition back to native forest.,Maintenance of ecological connectivity; Enhanced biodiversity and ecosystem functions,Sustainable livelihood opportunities; Secure land and resource tenure,Increased carbon sequestration and storage; Reduced emissions from deforestation and degradation,No,Yes
6,4B,Forest to C5,Forest converted to active use. Site now under crops rice ponds or buildings,other reference,Restore,Mangrove,422,"Reclaim active aquaculture ponds, hydrological restoration, and re-establish intertidal elevation.",Protection of watershed functions; Enhanced biodiversity and ecosystem functions,Sustainable livelihood opportunities; Cultural heritage preservation,Enhanced resilience to climate hazards; Increased carbon sequestration and storage,No,Yes
6,4B,Forest to C5,Forest converted to active use. Site now under crops rice ponds or buildings,other reference,Restore,Peatland,423,Rewet drained croplands & implement paludiculture (the sustainable cultivation using peatland-adapted crops).,Reduced vulnerability to fire; Protection of peat hydrological functions,Enhanced food and water security; Secure land and resource tenure,Reduced emissions from deforestation and degradation; Reduced vulnerability of forest-dependent communities,Yes,No
7,5,Forest to C6,Forest converted to barren. Tree cover lost and no vegetation left,,Restore,Dryland Forest,51,Soil terracing/gully plugs for erosion control and active reforestation.,Improved forest productivity and regeneration; Protection of watershed functions,Sustainable livelihood opportunities; Enhanced food and water security,Increased carbon sequestration and storage; Microclimate regulation,No,Yes
